correcteds,correctors,created_at,PASS,Highest C Piscine,Final exam score,Number of group assignments,level,penalty
68,69,10,0,8,48,2,5.82,0
109,117,4,1,11,18,3,8.77,0
13,18,10,0,3,0,1,2.92,0
0,0,10,0,0,,0,0,0
51,52,10,0,10,48,2,9.59,0
69,54,10,0,9,66,3,8.68,0
103,133,4,1,11,18,4,10.5,0
0,0,10,0,0,,0,0,0
60,43,10,0,8,54,2,5.38,0
0,2,10,0,0,,0,0,0
0,2,10,0,0,,0,0,0
96,105,10,0,11,36,3,8.93,0
0,0,10,0,0,,0,0,0
15,19,10,0,3,,0,2.18,0
101,94,2,1,11,18,3,8.66,0
6,8,10,0,1,,0,3.87,0
3,8,10,0,0,,1,0.38,0
11,18,10,0,3,,0,3.28,0
176,126,2,1,9,18,4,5.07,0
200,117,2,1,11,18,3,6.72,0
34,37,10,0,9,66,1,9.92,0
15,20,10,0,3,12,0,2.04,0
3,9,10,0,1,0,0,1.01,0
65,76,10,0,11,0,3,10.98,0
42,52,10,0,9,54,3,8.46,0
99,119,4,1,11,24,4,10.57,0
107,101,4,1,11,24,3,13.09,0
72,64,4,1,11,24,2,9.08,0
79,91,4,1,11,24,4,9.1,0
2,2,10,0,0,,0,0,0
58,64,10,0,11,24,4,10.58,0
32,45,10,0,6,54,1,6.99,0
34,42,10,0,7,12,2,6.55,0
100,88,4,1,9,24,4,9.47,0
132,158,4,1,11,30,3,8.55,0
70,101,4,1,9,30,3,8.25,0
200,99,3,1,8,30,4,7.18,0
6,10,10,0,0,,0,0.67,0
61,71,10,0,11,48,2,9.15,0
127,167,2,1,7,30,4,6.28,0
48,61,10,0,8,60,3,7.06,0
42,47,10,0,8,,1,6,0
69,73,10,0,9,0,2,7.13,0
90,126,2,1,11,30,4,9.98,0
41,49,10,0,7,72,0,7.06,0
86,72,4,1,9,36,3,8.74,0
140,160,4,1,10,36,4,9.79,0
12,16,10,0,1,,1,2.21,0
38,45,10,0,10,60,3,8.26,0
21,19,10,0,1,12,2,1.69,0
0,0,10,0,0,,0,0,0
0,0,10,0,0,,0,0,0
68,70,4,1,11,36,4,11.88,0
59,60,10,0,7,0,1,3.68,0
14,9,10,0,1,0,0,1.52,0
7,6,10,0,0,,0,0.55,0
132,133,4,1,11,36,3,8.8,0
0,0,10,0,0,,0,0,0
74,87,4,1,11,36,3,8.29,0
57,67,2,1,8,36,3,6.31,0
83,83,10,0,11,24,4,9.49,0
13,18,10,0,2,0,2,1.47,0
3,6,10,0,1,,0,1.65,0
81,95,2,1,4,36,4,5.7,0
66,70,2,1,10,36,4,8.37,0
22,26,10,0,6,60,1,7.08,0
63,67,10,0,11,36,4,9.95,0
75,84,2,1,8,36,3,7.61,0
49,57,2,1,8,36,4,6.52,0
63,104,2,1,9,36,4,6.57,0
71,80,8,1,11,42,4,11.5,0
61,71,8,1,11,42,4,10.6,0
198,147,7,1,11,42,4,10.64,0
77,62,7,1,11,42,4,11.63,0
75,45,10,0,10,0,1,4.2,0
43,52,10,0,10,24,2,7.13,0
49,64,10,0,11,60,3,10.94,0
0,0,10,0,0,,0,0,0
21,28,10,0,11,54,3,7.32,0
93,93,7,1,11,42,4,11.49,0
39,50,6,1,6,42,4,9.26,0
24,18,10,0,3,12,2,3.62,0
112,120,6,1,9,42,4,7.27,0
67,75,6,1,11,42,4,9.21,0
0,0,10,0,0,,0,0,0
1,7,10,0,0,0,1,0.9,0
138,128,5,1,11,42,3,9.29,0
8,14,10,0,1,,1,1.42,0
117,146,5,1,9,42,4,6.36,0
52,60,10,0,9,66,3,9.17,0
91,70,10,0,11,66,4,8.99,0
111,128,4,1,8,42,3,7.14,0
72,83,10,0,11,36,3,9.67,0
63,79,4,1,11,42,3,11,0
51,57,10,0,9,24,3,6.47,0
55,80,4,1,11,42,3,12.65,0
0,6,10,0,0,,2,0.95,0
77,68,4,1,11,42,2,8.99,0
75,84,10,0,11,36,4,10.15,0
62,78,4,1,8,42,3,7.95,0
73,56,10,0,8,0,3,5.17,0
7,7,10,0,0,,1,0.38,0
23,22,10,0,2,0,1,1.27,0
87,113,4,1,10,42,4,8.38,0
45,51,10,0,8,0,2,6.31,0
28,29,10,0,8,48,1,7.23,0
35,41,10,0,10,48,3,8.83,0
41,52,10,0,11,12,4,7.45,0
57,69,4,1,9,42,3,9.54,0
46,55,10,0,9,72,1,10.89,0
0,1,10,0,0,,0,0,0
46,49,10,0,8,66,1,6.61,0
139,119,3,1,8,42,4,7.28,0
35,39,10,0,9,72,2,7.94,0
64,70,10,0,11,48,4,10.04,0
0,0,10,0,0,,0,0,0
36,53,3,1,9,42,3,8.61,0
88,92,3,1,8,42,3,6.24,0
11,8,10,0,2,,0,1.09,0
11,15,10,0,2,,0,0.82,0
32,38,10,0,7,30,3,5.95,0
54,53,3,1,9,42,4,7.08,0
57,70,3,1,10,42,4,6.91,0
33,43,10,0,4,54,1,4.91,0
43,51,3,1,6,42,1,6.29,0
102,107,2,1,7,42,3,4.68,0
165,185,2,1,11,42,3,9.31,0
46,57,10,0,9,60,1,7.04,0
65,62,10,0,9,72,1,6.68,0
45,57,10,0,11,0,1,11.52,0
49,55,10,0,5,54,2,4.33,0
51,51,2,1,8,42,3,8.11,0
25,26,10,0,6,24,3,4.4,0
95,124,2,1,11,42,4,8.78,0
8,10,10,0,0,,1,1.3,0
23,27,10,0,4,24,2,2.78,0
34,39,10,0,7,0,4,5.25,0
53,59,10,0,11,72,1,9.36,0
60,68,10,0,11,66,1,9.97,0
47,47,2,1,8,42,3,6.09,0
81,115,2,1,10,42,3,6.98,0
20,23,2,1,4,42,3,4.88,0
8,8,10,0,1,,0,0.79,0
9,13,10,0,1,24,2,2.81,0
58,74,2,1,8,42,3,6.68,0
68,70,2,1,9,42,3,7.31,0
86,89,10,0,11,42,4,10.24,0
95,90,10,1,11,48,3,10.5,0
70,83,10,1,11,48,3,10.46,0
200,186,6,1,7,48,4,5.62,0
55,38,6,1,9,48,4,7.98,0
54,59,10,0,9,72,3,9.53,0
55,64,10,0,11,0,3,9.99,0
37,49,10,0,11,36,3,8.09,0
30,36,10,0,4,,1,4.12,0
5,11,10,0,0,0,1,0.82,0
37,48,10,0,8,72,2,9.22,0
49,54,5,1,10,48,3,8.15,0
22,27,10,0,4,24,2,4.6,0
62,57,10,0,8,0,4,5.16,0
41,52,10,0,8,66,0,9.18,0
54,62,10,0,9,66,2,8.9,0
126,137,5,1,11,48,3,9.2,0
2,1,10,0,0,,0,0,0
164,149,5,1,9,48,3,7.28,0
80,123,5,1,9,48,1,8.5,0
103,97,4,1,11,48,3,8.35,0
28,41,10,0,6,0,4,6.74,0
42,52,10,0,6,54,1,7.66,0
27,37,10,0,4,0,2,4.06,0
71,77,4,1,9,48,4,10.61,1
0,0,10,0,0,,0,0,0
113,143,4,1,11,48,4,10.39,0
18,17,10,0,1,,1,1.42,0
41,47,10,0,6,54,2,6.95,0
34,35,10,0,9,48,0,6.37,0
42,55,10,0,11,60,4,11.94,0
1,2,10,0,0,,1,0.95,0
65,69,10,0,11,66,3,10.03,0
129,154,4,1,11,48,4,10.25,0
6,9,10,0,2,,1,1.36,0
72,107,4,1,11,48,1,7.66,0
72,78,10,0,11,60,4,10.61,0
109,110,4,1,9,48,3,9.09,0
88,94,4,1,8,48,4,8.54,0
92,86,4,1,11,48,3,11.65,0
38,53,10,0,11,66,2,10.45,0
98,149,3,1,9,48,4,7.42,0
24,24,10,0,4,54,2,5.1,0
0,0,10,0,0,,0,0,0
61,71,10,0,11,72,2,9.37,0
21,25,10,0,4,0,2,5.02,0
53,55,3,1,8,48,4,6.83,0
71,66,3,1,8,48,4,6.53,0
47,53,10,0,11,78,3,10.33,0
47,50,10,0,9,78,3,10.48,0
195,110,3,1,6,48,3,5.85,0
91,93,3,1,8,48,4,6.79,0
1,7,10,0,1,12,0,1.95,0
84,78,10,0,11,0,4,10.65,0
10,13,10,0,3,0,1,3.32,0
31,28,10,0,6,66,1,6.21,0
47,50,10,0,8,,2,8.89,0
52,59,10,0,11,72,3,9.93,0
21,24,10,0,3,12,2,3.1,0
71,68,10,0,11,48,3,9.67,0
77,68,3,1,8,48,4,6.26,0
55,43,10,0,10,72,3,11.29,0
3,0,10,0,0,,0,0,0
48,44,10,0,6,0,1,2.56,0
13,14,10,0,1,,1,2.6,0
29,31,10,0,11,6,0,7.4,0
19,23,10,0,3,0,1,2.58,0
53,55,10,0,6,12,2,7.17,0
67,101,3,1,6,48,4,5.77,0
29,43,10,0,9,24,2,6.85,0
0,0,10,0,0,,0,0,0
86,57,10,0,11,72,4,10.03,0
41,36,10,0,8,72,2,10.22,0
20,21,10,0,2,,2,3.17,0
112,124,3,1,9,48,4,7.66,0
21,28,10,0,4,6,3,3.37,0
25,28,10,0,3,,1,1.23,0
12,10,10,0,1,,0,1.23,0
37,40,10,0,10,72,2,12.37,0
63,42,10,0,9,0,1,4.99,0
87,90,3,1,10,48,3,9.46,0
46,59,10,0,11,72,4,12.56,0
83,50,3,1,7,48,4,6.05,0
27,18,10,0,4,24,3,4.37,0
52,61,10,0,10,36,4,10.57,0
31,37,10,0,9,0,1,5.07,0
65,56,10,0,9,0,4,7.03,0
36,35,10,0,11,72,2,10.68,0
77,57,10,0,11,60,3,9.16,0
0,0,10,0,0,,0,0,0
80,58,10,0,11,72,3,11.87,0
56,50,3,1,9,48,3,6.52,0
51,59,10,0,11,60,2,10.36,0
23,29,10,0,8,66,1,8.67,0
61,50,10,0,9,66,2,8.7,0
21,21,10,0,4,,0,5.22,0
4,3,10,0,0,0,2,0.95,0
61,71,10,0,11,66,3,10.54,0
7,4,10,0,0,,0,0.55,0
28,30,10,0,8,36,1,6.62,0
15,19,10,0,3,,1,3.04,0
56,50,10,0,11,72,3,9.57,0
45,61,10,0,11,0,2,8.19,0
56,59,10,0,11,60,3,10.6,0
55,55,10,0,11,72,4,12.12,0
1,3,10,0,0,,0,0.61,0
34,40,10,0,8,54,3,7.83,0
113,139,3,1,9,48,4,6.15,0
31,38,10,0,8,66,3,8.35,0
9,14,10,0,3,54,1,4.8,0
6,9,10,0,2,24,0,2.97,0
47,45,10,0,9,48,3,8.37,0
33,40,10,0,8,66,4,10.02,0
61,58,10,0,11,66,3,12.2,0
78,127,3,1,8,48,3,4.74,0
0,0,10,0,0,,0,0,0
200,140,3,1,9,48,4,6.13,0
105,104,2,1,9,48,4,5.53,0
39,47,2,1,7,48,3,5.71,0
31,51,10,0,8,72,3,7.15,0
63,44,10,0,11,90,4,12.02,0
64,69,10,0,11,72,3,10.4,0
33,41,10,0,8,24,1,4.67,0
83,76,10,0,11,66,2,11.08,0
37,43,10,0,11,30,3,8.6,0
27,33,10,0,7,66,1,6.58,0
39,50,2,1,9,48,4,7.96,0
17,23,10,0,6,,1,3.43,0
54,61,10,0,11,72,2,11.91,0
18,25,10,0,4,,2,5.04,0
42,51,10,0,11,72,3,10.9,0
27,31,10,0,3,0,3,4.89,0
3,8,10,0,0,,1,0.82,0
36,45,10,0,8,24,3,5.97,0
43,52,10,0,11,72,2,13.02,0
31,34,10,0,7,66,3,7.22,0
48,55,10,0,11,66,2,10.72,0
66,57,10,0,11,60,4,11.79,0
70,59,10,0,11,72,2,9.78,0
36,49,2,1,7,48,3,7.76,0
39,54,2,1,8,48,4,4.32,0
37,45,10,0,7,72,3,8.39,0
26,29,2,1,5,48,2,6.99,0
169,132,2,1,9,48,4,6.58,0
0,0,10,0,0,,0,0,0
51,49,10,0,11,54,4,12.13,0
0,0,10,0,0,,0,0,0
46,55,2,1,8,48,3,7.28,0
59,59,10,0,10,54,4,8.91,0
60,63,10,0,11,72,3,10.76,0
8,12,10,0,0,,1,1.21,0
23,27,10,0,4,0,4,2.41,0
0,0,10,0,0,,0,0,0
33,38,10,0,9,12,0,7.43,0
66,72,2,1,11,48,4,10.62,0
43,53,10,0,8,0,1,4.55,0
7,6,10,0,0,,1,0.55,0
74,79,10,1,9,54,3,9.16,0
87,97,8,1,11,54,2,11.86,0
29,34,10,0,8,36,1,4.78,0
40,47,10,0,9,66,3,9.36,0
95,118,8,1,8,54,4,9.97,0
83,121,6,1,6,54,4,7.75,0
44,49,5,1,11,54,3,8.96,0
48,58,5,1,10,54,3,10.72,0
52,50,10,0,10,84,2,9.21,0
90,86,10,0,9,66,3,8.38,0
20,12,10,0,1,0,2,1.91,0
27,23,10,0,4,,2,2.73,0
25,29,10,0,4,24,1,4.35,0
53,53,10,0,9,24,3,7.98,0
37,47,10,0,9,72,4,10.27,0
36,46,10,0,8,66,3,10.54,0
40,64,10,0,9,66,3,10.45,0
19,35,10,0,4,0,3,5,0
72,60,10,0,11,72,2,10.91,0
50,56,10,0,11,48,1,10.83,0
50,48,10,0,11,60,3,9.82,0
59,47,10,0,8,24,4,9.19,0
75,58,10,0,11,24,3,8.99,0
49,58,10,0,9,66,3,9.88,0
5,5,10,0,0,,1,0.98,0
52,63,10,0,10,48,2,8.26,0
8,15,10,0,3,6,1,2.1,0
30,32,10,0,8,72,2,6,0
119,128,5,1,9,54,3,7.48,0
76,67,5,1,9,54,4,8.96,0
15,20,10,0,4,0,0,1.99,0
0,4,10,0,0,,0,0.37,0
42,45,10,0,8,72,3,8.05,0
53,53,10,0,11,54,3,11.3,0
47,52,10,0,10,12,3,7.95,0
96,125,5,1,11,54,3,9.51,0
123,143,5,1,11,54,3,8.66,0
69,63,10,0,11,72,3,12.44,0
51,54,10,0,11,0,1,8.63,0
0,4,10,0,0,,0,1.53,0
200,122,5,1,11,54,3,9.67,0
52,62,10,0,9,54,2,8.53,0
30,28,10,0,6,0,0,4.04,0
39,24,10,0,4,0,0,3.42,0
65,68,10,0,9,12,3,5.53,0
101,120,4,1,9,54,3,8,0
96,78,4,1,11,54,3,11.43,0
142,142,4,1,11,54,3,10.2,0
94,145,4,1,8,54,3,7.84,0
137,141,4,1,11,54,4,10.99,0
3,0,10,0,0,,0,0,0
104,112,10,0,8,12,4,6.57,0
119,122,4,1,11,54,3,10.47,0
50,61,10,0,9,24,1,8.15,0
38,70,4,1,11,54,2,11.32,0
55,70,10,0,11,66,2,9.43,0
74,94,4,1,10,54,3,8.57,0
109,101,4,1,11,54,4,13.19,0
57,66,4,1,11,54,3,9.69,0
48,41,4,1,8,54,3,9.52,0
75,54,4,1,11,54,3,11.17,0
0,0,10,0,0,,0,0,0
126,103,4,1,8,54,3,7.89,0
61,73,3,1,8,54,4,6.64,0
104,88,3,1,9,54,3,6.37,0
123,119,3,1,9,54,3,6.36,0
46,64,10,0,9,24,4,7.25,0
8,9,10,0,0,,1,1.18,0
52,52,10,0,10,24,3,7.78,0
35,31,10,0,7,24,2,8.43,0
22,33,10,0,4,,1,3.09,0
68,69,10,0,11,66,3,10.67,0
10,7,10,0,0,,0,0.55,0
97,135,3,1,9,54,4,7.48,0
35,55,10,0,11,66,4,9.38,0
60,77,10,0,11,66,2,9.91,0
46,43,3,1,8,54,2,5.87,0
19,23,10,0,3,0,3,3.88,0
78,50,3,1,8,54,4,7.54,0
44,53,3,1,9,54,3,6.06,0
55,59,3,1,7,54,3,5.89,0
3,8,10,0,1,,0,2.64,0
40,45,3,1,7,54,3,6.12,0
55,60,10,0,11,72,2,11.79,0
63,68,3,1,8,54,3,6.46,0
51,56,10,0,11,66,2,11.24,0
78,94,2,1,3,54,2,3.69,0
27,33,10,0,6,66,2,4.26,0
75,86,2,1,13,54,4,11.59,0
167,116,2,1,9,54,4,5.95,0
41,44,2,1,7,54,4,7.38,0
25,25,10,0,6,,2,2.83,0
57,63,2,1,8,54,4,8.02,0
61,62,2,1,8,54,4,6.62,0
67,80,2,1,9,54,3,8.85,0
56,58,10,0,11,66,3,11.1,0
0,0,10,0,0,,0,0,0
75,89,10,1,11,60,4,11.58,0
28,35,10,0,6,6,1,3.88,0
60,68,10,1,10,60,1,8.99,0
85,92,10,1,11,60,3,10.83,0
52,61,10,0,11,72,1,10.03,0
32,38,10,0,6,48,2,7.04,0
59,61,10,0,11,72,4,11.35,0
14,19,10,0,3,0,2,1.55,0
101,103,10,1,11,60,3,8.87,0
62,80,10,1,11,60,3,10.14,0
32,33,10,0,7,66,3,7.55,0
15,23,10,0,8,54,3,7.5,0
73,73,10,1,11,60,4,9.98,0
79,90,10,1,11,60,3,12.06,0
37,35,10,0,11,72,2,10.81,0
50,64,10,1,11,60,4,12.98,0
44,55,10,0,11,60,2,11.22,0
75,70,10,1,11,60,3,12.77,0
19,11,10,0,2,,0,1.55,0
109,115,9,1,11,60,3,12.65,0
38,43,10,0,11,72,4,12.32,0
40,42,8,1,11,60,2,12.76,0
68,55,10,0,11,72,4,11.67,0
152,169,8,1,10,60,2,11.27,0
123,109,8,1,8,60,2,8.12,0
0,5,10,0,0,,1,1.59,0
8,9,10,0,1,,1,2.37,0
55,62,8,1,11,60,2,9,0
80,92,8,1,11,60,3,10.72,0
43,52,8,1,7,60,4,8.88,0
141,135,8,1,11,60,2,10.9,0
2,1,9,0,0,,0,0,0
78,67,8,1,11,60,4,10.38,0
8,7,9,0,0,,2,2.28,0
36,39,9,0,6,66,2,6.27,0
48,60,9,0,11,72,3,11.26,0
136,148,8,1,11,60,3,10.15,0
29,45,9,0,8,66,3,7.76,0
121,147,7,1,9,60,4,10.61,0
14,38,9,0,4,54,4,5,0
48,22,9,0,3,48,3,6.31,0
60,53,9,0,8,48,3,7.97,0
6,5,9,0,0,,0,0.55,0
62,61,9,0,10,60,4,10.58,0
62,53,9,0,10,72,3,11.33,0
7,16,9,0,0,0,1,3.32,0
44,54,9,0,9,36,3,7.16,0
40,51,9,0,11,0,3,12.64,0
44,51,9,0,11,42,4,11.3,0
25,55,9,0,6,60,4,7.36,0
138,130,7,1,11,60,3,12.48,0
0,0,9,0,0,,0,0,0
50,47,9,0,8,42,0,4.64,0
3,8,9,0,0,,1,0.55,0
0,2,9,0,0,,0,0,0
114,162,7,1,11,60,4,9.48,0
43,49,9,0,11,72,1,11.97,0
34,49,9,0,11,84,3,12.58,0
8,15,9,0,0,,1,0.55,0
134,193,7,1,11,60,3,8.96,0
9,18,9,0,2,,2,2.81,0
94,120,7,1,11,60,3,11.46,0
12,29,9,0,8,48,1,7.54,0
49,37,9,0,8,0,3,6.89,0
88,117,6,1,11,60,3,14.63,0
2,3,9,0,0,,0,0,0
10,16,9,0,1,0,2,2.07,0
106,101,6,1,11,60,3,12.09,0
77,77,6,1,9,60,3,9.93,0
112,119,6,1,9,60,4,9.97,0
78,93,6,1,9,60,4,8.4,0
1,3,9,0,0,,0,0,0
2,1,9,0,0,,1,0.98,0
84,121,6,1,11,60,4,9.41,0
69,67,9,0,11,,4,8.85,0
42,57,9,0,10,66,4,11.71,0
32,51,9,0,7,60,3,9.57,0
23,45,9,0,8,42,1,6.73,0
90,77,6,1,9,60,4,8.88,0
56,62,6,1,8,60,2,5.83,0
6,4,9,0,0,0,0,0.55,0
78,79,9,0,8,66,2,8.28,0
73,80,9,0,9,60,4,8.41,0
35,27,5,1,8,60,4,7.59,0
65,46,5,1,9,60,4,8.9,0
2,8,9,0,1,48,2,2.79,0
0,0,9,0,0,,0,0,0
56,58,5,1,11,60,3,9.35,0
67,76,5,1,8,60,3,7.86,0
0,0,9,0,0,,0,0,0
67,69,5,1,11,60,3,10.56,0
20,29,9,0,8,66,2,9.68,0
77,55,5,1,10,60,2,8.85,0
32,60,9,0,8,66,3,6.77,0
64,86,9,0,9,72,3,11.47,0
41,60,9,0,11,66,4,10.68,0
25,45,9,0,11,84,3,11,0
47,87,9,0,11,66,4,10.64,0
30,53,5,1,10,60,4,8.62,0
115,118,5,1,11,60,4,9.27,0
15,13,9,0,1,0,2,2.54,0
7,7,9,0,1,0,1,1.71,0
8,7,9,0,0,0,1,0.55,0
35,33,5,1,8,60,4,8.13,0
123,136,5,1,11,60,4,10.35,0
60,74,9,0,8,72,3,8.06,0
5,26,9,0,4,0,2,4.06,0
85,120,5,1,8,60,3,9.55,0
6,8,9,0,1,84,1,5.55,0
38,36,9,0,8,6,3,5.93,0
8,7,9,0,0,,1,0.55,0
46,67,9,0,9,66,3,9.03,0
97,138,5,1,10,60,3,8.62,0
26,35,9,0,4,,3,7.36,0
148,130,5,1,11,60,4,11.48,0
40,44,9,0,5,24,2,6.55,0
108,133,5,1,8,60,4,8.98,0
61,61,5,1,9,60,4,9.92,0
56,65,5,1,7,60,4,7.45,0
22,51,9,0,9,18,2,6.31,0
74,68,5,1,9,60,2,7.5,0
113,125,5,1,8,60,2,6.23,0
57,63,5,1,11,60,4,9.29,0
88,127,5,1,10,60,3,10.22,0
65,84,5,1,8,60,4,7.13,0
54,50,5,1,9,60,3,7.13,0
13,20,9,0,4,12,0,2.97,0
38,53,9,0,9,66,4,9.85,0
13,10,9,0,1,0,2,0.83,0
47,52,9,0,11,72,3,11.44,0
55,58,9,0,11,66,4,9.37,0
28,50,9,0,10,54,3,8.72,0
0,0,9,0,0,,0,0,0
15,35,9,0,6,12,2,5.33,0
37,44,9,0,6,6,3,6.77,0
90,118,5,1,9,60,4,8.09,0
72,57,4,1,11,60,1,11.18,0
49,56,9,0,11,72,4,11.25,0
42,62,9,0,9,,2,6.2,0
39,72,9,0,11,30,4,12.36,0
39,38,9,0,6,42,4,8.75,0
94,90,4,1,9,60,4,12.23,1
159,156,4,1,11,60,3,9.4,0
78,68,4,1,11,60,4,9.86,0
48,47,9,0,9,54,4,7.06,0
30,27,9,0,6,,1,7.43,0
63,35,9,0,8,30,4,6.96,0
76,92,9,0,11,66,4,10.76,0
88,52,9,0,9,72,3,10.32,0
44,54,4,1,11,60,4,12.24,0
70,65,9,0,11,54,4,9.23,0
35,37,9,0,5,0,2,4.64,0
0,0,9,0,0,,0,0,0
63,74,4,1,9,60,3,8.16,0
138,112,4,1,11,60,2,8.63,0
160,152,4,1,9,60,4,9.61,0
87,81,4,1,11,60,4,10.13,0
85,65,9,0,11,60,3,10.85,0
3,10,9,0,1,0,1,2.04,0
2,0,9,0,0,,0,0,0
46,50,4,1,11,60,1,9.4,0
57,57,4,1,11,60,2,10.99,0
128,131,4,1,11,60,2,11.9,0
26,40,9,0,8,72,4,10.34,0
82,76,4,1,11,60,3,13.05,0
102,95,4,1,11,60,3,10.8,0
83,57,9,0,10,66,4,10.65,0
68,63,4,1,9,60,3,9.95,0
56,60,9,0,8,72,3,8.24,0
53,47,9,0,10,66,4,10.58,0
21,34,9,0,8,60,2,9.14,0
101,55,9,0,8,72,4,9.53,0
39,36,9,0,8,6,4,5.56,0
28,39,9,0,7,24,1,6.38,0
42,71,9,0,9,66,3,8.37,0
58,54,4,1,9,60,4,8.54,0
33,35,3,1,7,60,3,5.97,0
38,51,9,0,11,72,3,10.77,0
47,41,9,0,8,66,3,6.97,0
15,37,9,0,8,66,1,8.01,0
173,149,3,1,7,60,4,5.56,0
43,46,9,0,8,6,4,6.99,0
106,125,3,1,8,60,4,7.09,0
152,126,3,1,9,60,4,7.42,0
120,105,3,1,11,60,4,10.77,0
41,66,9,0,11,60,4,9.66,0
0,0,9,0,0,0,0,0,0
51,73,3,1,8,60,4,8.06,0
59,50,9,0,9,42,4,9.98,0
118,136,3,1,8,60,4,7.76,0
93,108,3,1,8,60,4,8.48,0
80,111,3,1,6,60,3,5.65,0
63,108,3,1,9,60,2,7,0
62,64,9,0,11,78,3,10.85,0
74,71,3,1,9,60,4,8.85,0
71,75,9,0,11,72,4,10.81,0
15,38,9,0,8,66,1,8.97,0
114,131,3,1,6,60,3,4.76,0
21,35,9,0,4,48,3,7.43,0
8,10,9,0,2,,0,1.4,0
32,60,9,0,10,54,1,9.01,0
0,0,9,0,0,,0,0,0
0,0,9,0,0,,0,0,0
96,103,3,1,8,60,3,6.39,0
64,109,3,1,8,60,4,7.1,0
0,0,9,0,0,,0,0,0
39,43,3,1,8,60,3,6.32,0
200,174,3,1,9,60,4,8.07,0
