correcteds,correctors,created_at,PASS,Highest C Piscine,Final exam score,Number of group assignments,level,penalty
32,26,9,0,8,30,3,6.4,0
111,108,4,1,13,12,4,1.54,0
27,25,9,0,3,12,3,4.48,0
139,114,3,1,8,12,3,6.9,0
52,57,9,0,8,24,3,4.59,0
38,32,2,1,4,12,1,1.8,0
25,22,9,0,6,24,2,4.19,0
31,38,2,1,1,12,1,2.1,0
169,168,1,1,11,12,3,9.87,0
161,148,1,1,11,12,4,10.37,0
15,11,9,0,1,48,2,5.14,0
151,135,1,1,11,12,4,8.67,0
41,38,9,0,4,12,1,2.17,0
201,200,1,1,12,12,3,11.39,0
162,149,1,1,11,12,4,10.14,0
143,138,1,1,11,12,4,10.75,0
35,29,9,0,6,72,3,8.14,0
34,28,9,1,2,18,3,1.82,0
52,59,9,1,6,18,2,4.15,0
35,31,9,0,4,72,1,6.63,0
34,32,9,0,3,0,2,2.55,0
130,135,8,1,13,18,4,1.08,0
78,79,8,1,13,18,4,1.57,0
140,200,8,1,13,18,4,2.19,0
17,17,9,0,4,18,2,2.58,0
41,34,9,0,8,48,3,6.4,0
46,52,10,1,6,18,1,3.67,0
39,41,12,1,2,18,1,1.93,0
20,33,9,1,3,18,2,2.2,0
95,93,7,1,13,18,4,1.65,0
7,9,9,0,3,0,0,1.53,0
112,90,7,1,13,18,4,2.42,0
69,118,7,1,13,18,4,3,0
58,51,9,0,7,66,3,8.59,0
48,45,9,0,8,0,3,5.66,0
90,99,6,1,13,18,4,1.49,0
109,90,6,1,13,18,3,2.19,0
51,59,5,1,13,18,4,2.31,0
26,22,9,0,3,0,2,1.89,0
200,202,5,1,13,18,4,2.14,1
32,22,9,0,3,30,3,3.41,0
146,190,5,1,13,18,4,1.69,0
140,130,5,1,13,18,4,0.93,0
69,57,9,0,11,54,4,9.88,0
128,151,5,1,13,18,4,0.96,0
58,46,2,1,7,18,2,3.92,0
154,157,2,1,9,18,3,6.92,0
14,15,9,1,4,24,1,3.93,0
26,29,9,0,4,18,2,2.74,0
74,64,9,1,7,24,1,4.2,0
65,60,14,1,9,24,2,6.73,0
51,42,9,0,8,18,3,5.6,0
32,28,14,1,6,24,2,3.01,0
14,10,14,1,4,24,0,2.74,0
31,37,14,1,7,24,1,3.27,0
43,39,9,0,9,66,1,8.6,0
47,48,14,1,8,24,1,4.45,0
55,47,14,1,7,24,2,7.46,0
15,15,9,0,2,,0,0.3,0
41,34,9,0,3,0,2,2.49,0
8,2,9,0,0,,1,0.84,0
77,67,9,0,11,90,4,13.88,0
46,44,14,1,7,24,1,4.92,0
23,22,14,1,4,24,1,4.11,0
64,65,14,1,9,24,0,4.89,0
38,35,9,0,7,18,2,3.92,0
17,10,9,0,2,,1,2.32,0
44,36,14,1,7,24,2,6.84,0
22,16,14,1,4,24,2,2.7,0
49,47,13,1,7,24,2,5.58,0
50,52,9,0,9,66,2,8.34,0
17,11,9,0,2,12,3,1.78,0
35,34,13,1,6,24,1,2.97,0
48,60,13,1,7,24,1,3.65,0
43,41,9,0,8,42,3,5.35,0
67,73,13,1,7,24,2,6.24,0
102,92,8,1,13,24,4,1.67,0
47,47,9,0,7,36,2,4.83,0
47,49,15,1,8,24,1,5.45,0
46,38,15,1,7,24,4,5.88,0
32,27,9,0,6,90,3,11.01,0
66,55,9,0,9,42,3,7.86,0
47,37,9,0,7,30,3,5.77,0
30,35,14,1,7,24,2,4.75,0
33,29,14,1,8,24,3,6.93,0
25,25,9,0,4,0,1,2.33,0
39,38,14,1,7,24,2,5.19,0
8,8,9,0,3,18,2,2.83,0
48,46,14,1,6,24,2,4.33,0
28,31,14,1,6,24,2,4.32,0
32,30,14,1,6,24,2,5.61,0
22,22,9,0,3,12,3,2.57,0
14,37,9,0,4,,0,1.56,0
8,4,9,0,2,24,2,1.61,0
35,34,9,0,4,42,1,4.57,0
9,14,9,0,0,0,1,0.55,0
51,45,13,1,6,24,1,5.71,0
131,164,7,1,13,24,4,1.61,0
108,81,7,1,13,24,4,2.15,0
38,30,9,0,9,24,3,6.27,0
116,93,4,1,13,24,4,1.01,0
37,29,9,0,4,,3,3.69,1
117,100,4,1,13,24,3,0.69,0
73,68,9,1,6,30,3,4.85,0
58,53,9,1,6,30,2,4.58,0
42,38,9,1,2,30,3,3.06,0
25,16,9,0,6,24,3,4.25,0
116,81,8,1,13,30,3,2.5,0
46,53,9,0,7,12,3,3.1,0
74,71,8,1,13,30,4,1.27,0
60,57,8,1,13,30,4,1.5,0
21,15,9,0,2,18,3,2.85,0
55,50,9,0,7,48,3,5.61,0
22,20,9,0,3,12,3,3.75,0
28,27,8,1,3,30,0,2.48,0
47,43,9,0,8,18,1,4.32,0
9,4,9,0,0,12,0,1.34,0
95,76,8,1,13,30,4,2.29,0
19,13,9,0,3,12,3,2.94,0
46,39,9,0,7,12,3,5.41,0
117,132,8,1,13,30,3,2.54,0
29,20,9,0,4,0,2,1.93,0
40,36,14,1,5,30,3,4.21,0
62,59,14,1,7,30,2,5.33,0
32,21,9,0,4,0,3,2.34,0
47,45,14,1,8,30,1,5.28,0
20,21,9,0,2,,2,2.79,0
40,32,13,1,4,30,2,4.04,0
57,57,13,1,7,30,1,4.48,0
51,49,13,1,6,30,1,3.16,0
108,88,10,1,6,30,1,5.45,0
55,52,12,1,6,30,2,4.21,0
154,119,7,1,7,30,3,7.75,0
32,38,15,1,7,30,1,5.97,0
21,16,15,1,6,30,1,4.52,0
24,23,15,1,7,30,1,4.54,0
37,30,15,1,6,30,2,4.46,0
39,36,15,1,6,30,2,4.12,0
31,30,15,1,8,30,1,4.47,0
22,17,15,1,7,30,2,5.31,0
24,23,14,1,6,30,1,2.87,0
33,24,14,1,7,30,2,5.7,0
35,38,14,1,7,30,3,4.89,0
18,16,14,1,2,30,2,2.41,0
28,21,14,1,6,30,2,4.5,0
29,28,14,1,8,30,1,4.66,0
33,29,14,1,7,30,2,5.01,0
118,134,8,1,13,30,4,2.28,1
66,64,7,1,13,30,3,1.89,0
82,73,7,1,7,30,3,4.06,0
2,2,7,1,0,30,0,0.61,0
118,112,6,1,6,30,3,4.3,0
99,80,6,1,13,30,4,2.77,0
126,163,6,1,13,30,1,1.01,0
74,91,6,1,7,30,2,5.71,0
104,86,6,1,13,30,3,2.42,0
120,82,6,1,13,30,3,2.09,0
121,132,5,1,13,30,4,1.39,0
108,159,5,1,13,30,4,1.93,0
114,114,5,1,13,30,4,0.78,0
133,180,4,1,13,30,4,1.8,0
47,51,8,0,8,18,2,4.68,0
142,161,4,1,13,30,4,1.17,0
138,150,4,1,13,30,1,2.25,0
131,105,4,1,9,30,3,7.32,0
29,25,8,0,6,18,1,3.2,0
16,16,8,0,4,48,1,3.13,0
39,39,8,0,4,0,2,4.1,0
11,7,8,0,3,12,2,2.75,0
49,105,8,0,5,12,1,4.64,0
33,30,8,0,6,24,2,3.88,0
24,20,8,0,6,18,3,3.11,0
73,74,4,1,9,30,3,6.02,0
50,58,8,0,7,0,2,5.24,0
8,5,8,0,0,,2,1.57,0
11574586,111,4,1,7,30,2,5.1,0
153,168,3,1,11,30,3,6.16,0
107,110,3,1,6,30,2,4.03,0
55,55,8,0,11,42,2,9.35,0
7,12,8,0,0,,1,0.59,0
70,65,3,1,7,30,3,5.63,0
54,44,3,1,6,30,3,5.01,0
69,76,8,0,11,42,3,9.23,0
59,49,3,1,8,30,3,4.95,0
177,159,2,1,8,30,4,6.95,0
1,0,8,0,0,,0,0.78,0
169,151,2,1,8,30,3,7.05,0
110,103,2,1,11,30,4,7.11,0
30,23,8,0,6,18,2,4.79,0
103,110,1,1,9,30,3,7.69,0
127,115,1,1,7,30,3,6,0
76,70,1,1,9,30,4,8.89,0
22,21,8,0,4,0,1,3.94,0
62,56,1,1,9,30,2,7.31,0
58,54,1,1,8,30,4,7.58,0
146,153,1,1,9,30,4,6.45,0
158,187,1,1,11,30,4,9.78,0
114,89,2,1,9,35,4,9.78,0
33,44,9,1,7,36,1,4.27,0
27,23,8,0,8,72,2,7.24,0
28,23,8,0,4,30,3,4.99,0
118,200,8,1,13,36,4,2.25,0
38,40,8,0,8,48,3,5.97,0
10,7,8,0,1,,0,0.38,0
53,47,8,0,6,12,1,4.02,0
96,71,8,1,13,36,4,2.7,0
7,2,8,0,1,,0,0.38,0
120,124,8,1,13,36,4,3.89,0
39,36,8,0,8,30,3,6.52,0
38,38,8,0,8,54,2,5.89,0
87,105,8,1,13,36,4,1.67,0
111,109,8,1,13,36,4,2.38,0
116,164,8,1,13,36,4,3.2,0
54,56,8,0,8,42,3,6.67,0
105,125,8,1,13,36,4,1.95,0
100,108,8,1,13,36,4,2.52,0
10,8,8,0,0,,0,0.88,0
87,66,8,1,13,36,3,1.87,0
142,144,8,1,13,36,4,3.33,0
89,75,8,1,13,36,4,1.3,0
58,55,14,1,9,36,3,7.9,0
36,32,14,1,8,36,3,6.62,0
52,50,14,1,7,36,2,6.02,0
25,24,8,0,7,48,3,6.57,0
11,8,8,0,2,,0,0.63,0
25,30,14,1,7,36,0,3.43,0
52,43,14,1,7,36,3,6.58,0
47,44,14,1,8,36,2,7.01,0
34,28,8,0,7,18,2,5.12,0
56,51,14,1,9,36,3,7.94,0
37,39,8,0,8,30,2,4.47,0
66,81,13,1,6,36,1,3.68,0
66,74,13,1,6,36,2,6.57,0
71,70,13,1,6,36,1,1.92,0
66,66,13,1,6,36,3,4.04,0
83,83,11,1,9,36,2,8.36,0
89,80,10,1,7,36,2,6,0
70,63,10,1,7,36,2,4.92,0
61,53,10,1,6,36,2,5.56,0
94,81,12,1,6,36,2,4.28,0
39,37,11,1,8,36,3,5.9,0
35,31,15,1,8,36,2,3.86,0
32,28,15,1,8,36,2,6.17,0
38,30,15,1,7,36,1,4.65,0
44,42,15,1,9,36,2,7.53,0
75,68,15,1,9,36,3,7.6,0
32,23,15,1,7,36,1,5.7,0
40,34,14,1,7,36,4,3.41,0
45,51,14,1,6,36,3,5.68,0
41,34,14,1,7,36,3,7.78,0
38,37,14,1,8,36,1,4.73,0
40,37,8,0,7,54,3,5.92,0
37,51,8,0,9,0,1,6.48,0
5,4,8,0,1,,1,1.28,0
43,39,14,1,7,36,2,5.52,0
24,20,8,0,3,48,4,4.65,0
46,39,8,0,8,42,2,6.36,0
91,93,7,1,13,36,4,2.46,0
79,84,7,1,13,36,4,2.1,0
42,40,8,0,8,12,2,3.58,0
33,34,8,0,4,12,1,3.62,0
43,41,8,0,8,48,1,5.24,0
109,76,7,1,13,36,4,2.17,0
50,46,8,0,8,18,3,7.05,0
153,151,7,1,13,36,4,3.46,0
115,138,6,1,13,36,4,2.52,0
137,163,6,1,13,36,4,2.25,0
136,123,6,1,13,36,3,3.38,0
18,18,8,0,1,,1,1.12,0
19,15,8,0,6,12,2,4.09,0
18,13,8,0,4,24,2,3.11,0
132,150,6,1,13,36,4,3.16,0
23,21,8,0,3,12,2,1.47,0
43,45,8,0,4,42,3,5.07,0
35,34,8,0,6,0,1,2.15,0
15,15,8,0,2,,0,1.65,0
155,200,6,1,13,36,4,1.92,0
43,36,8,0,8,66,3,6.67,0
40,39,8,0,8,18,1,3.47,0
203,200,6,1,13,36,3,2.38,0
111,95,5,1,13,36,4,1.28,0
35,28,8,0,6,18,3,4.94,0
100,93,5,1,13,36,4,4.52,0
34,34,8,0,8,42,2,7.87,0
17,14,8,0,3,,2,5.18,0
45,45,8,0,11,18,0,5.13,0
18,25,8,0,4,6,2,1.16,0
107,92,5,1,13,36,3,2.32,0
136,107,4,1,13,36,4,2.4,0
112,91,4,1,13,36,4,2.4,0
111,91,4,1,13,36,4,1.47,0
121,106,3,1,8,36,3,6.32,0
18,18,8,0,3,0,1,1.84,0
38,30,8,0,8,72,2,8.38,0
28,34,9,1,6,42,3,5.44,0
38,31,8,0,9,42,3,8.59,0
119,142,9,1,9,42,2,9.2,0
26,23,8,0,7,42,2,7.17,0
39,40,9,1,6,42,2,4.73,0
31,24,8,0,6,12,2,3.2,0
114,170,9,1,8,42,2,4.89,0
39,33,9,1,7,42,1,5.22,0
49,43,8,0,8,42,1,7.52,0
51,44,8,0,11,60,3,10.94,0
48,46,8,0,8,48,2,4.49,0
87,64,8,1,13,42,4,4.54,0
36,33,8,0,7,48,1,5.79,0
109,126,8,1,13,42,4,2.98,0
168,151,8,1,13,42,4,2.16,0
70,79,8,1,13,42,4,1.77,0
36,36,8,0,6,42,2,6.97,0
91,94,8,1,8,42,3,6.85,0
82,87,8,1,9,42,4,9.46,0
133,114,8,1,11,42,2,8.7,0
30,25,8,0,8,72,3,8.06,0
106,88,8,1,8,42,3,6.98,0
125,140,8,1,13,42,2,2.61,0
145,200,8,1,13,42,4,2.55,0
77,57,8,1,13,42,4,3.48,0
56,51,8,0,8,48,4,7.73,0
100,84,8,1,13,42,4,3.48,0
35,31,8,0,7,54,2,6.32,0
38,34,14,1,7,42,3,7.43,0
40,58,14,1,7,42,1,6.21,0
21,15,8,0,6,12,2,4.37,0
41,42,8,0,7,24,1,4.28,0
63,62,13,1,7,42,3,4.83,0
35,32,8,0,7,18,3,6.78,0
99,93,11,1,7,42,1,6.49,0
67,62,8,0,11,42,3,11.69,0
100,149,11,1,9,42,1,5.41,0
39,34,8,0,7,0,1,3.6,0
55,49,8,0,8,6,3,6.28,0
4,0,8,0,1,,0,0.52,0
3,0,8,0,2,42,0,2.12,0
40,38,11,1,7,42,0,5.21,0
67,60,11,1,7,42,2,5.59,0
20,14,8,0,3,,2,2.55,0
43,42,11,1,7,42,2,5.43,0
78,80,11,1,8,42,2,6.43,0
35,28,8,0,11,6,3,7.43,0
79,65,10,1,6,42,4,8.27,0
96,80,10,1,7,42,2,5.71,0
111,114,10,1,7,42,2,4.83,0
77,75,10,1,7,42,3,4.37,0
135,121,10,1,7,42,2,7.19,0
42,35,8,0,7,18,2,6.9,0
43,43,10,1,7,42,2,6.23,0
37,35,8,0,8,30,3,7.18,0
45,44,10,1,7,42,2,6.77,0
53,57,8,0,9,30,2,6.09,0
61,52,10,1,4,42,0,3.98,0
98,83,10,1,9,42,3,6.59,0
36,33,8,0,7,18,2,5.97,0
77,72,10,1,8,42,2,6.2,0
96,78,10,1,7,42,2,5.27,0
18,15,8,0,2,0,1,1.49,0
21,14,8,0,4,,2,4.41,0
95,86,12,1,7,42,2,6.42,0
38,30,12,1,6,42,2,5.32,0
49,40,12,1,6,42,2,4.41,0
27,25,8,0,5,0,2,1.73,0
96,90,12,1,8,42,2,5.97,0
38,29,12,1,7,42,1,4.76,0
34,31,8,0,8,30,3,6.25,0
32,25,8,0,7,12,2,4.24,0
44,35,12,1,6,42,1,3.84,0
30,30,8,0,7,66,2,6.31,0
59,57,8,0,9,30,3,6.65,0
48,40,12,1,6,42,3,5.7,0
6,4,8,0,0,,0,1.53,0
3,4,8,0,0,,0,0.17,0
28,32,8,0,6,30,1,3.09,0
106,97,12,1,9,42,2,7.48,0
14,18,8,0,3,,0,1.28,0
73,67,12,1,8,42,2,8.36,0
33,29,8,0,7,18,3,3.54,0
71,70,12,1,7,42,3,6.59,0
35,32,8,0,6,18,2,4.45,0
15,12,8,0,2,,2,3.16,0
34,42,8,0,7,6,2,3.97,0
82,69,12,1,7,42,2,4.59,0
50,49,11,1,8,42,3,5.73,0
100,99,8,1,13,42,4,2.51,0
46,40,8,0,8,18,2,4.72,0
40,33,8,0,8,24,2,6.73,0
46,50,8,0,7,54,3,7.6,0
102,81,8,1,13,42,4,1.94,0
110,89,8,1,13,42,3,2.38,0
70,67,7,1,9,42,2,8.78,0
56,42,7,1,9,42,3,8.27,0
38,30,7,1,6,42,2,5.47,0
49,43,8,0,11,36,4,10.44,0
40,38,15,1,8,42,2,5.95,0
48,40,15,1,7,42,4,6.89,0
46,44,15,1,7,42,2,3.77,0
129,173,7,1,13,42,2,2.52,0
14,10,8,0,3,30,3,2.58,0
132,145,7,1,13,42,4,2.53,0
114,167,7,1,13,42,4,2.94,0
43,41,8,0,8,12,2,5.36,0
18,14,8,0,3,24,2,2.21,0
132,115,7,1,13,42,4,2.91,0
21,21,8,0,6,54,3,5.19,0
29,24,8,0,5,42,2,6.82,0
41,35,8,0,8,42,1,7.13,0
99,92,7,1,13,42,4,4.1,0
74,69,8,0,11,54,3,8.61,0
102,83,7,1,13,42,4,3.82,0
116,151,7,1,13,42,4,2.51,0
34,30,8,0,6,18,3,6.1,0
27,22,8,0,6,0,0,1.73,0
110,98,7,1,13,42,4,3.69,0
118,108,6,1,7,42,3,5.41,0
30,26,6,1,6,42,2,6.34,0
120,120,6,1,9,42,3,6.82,0
7,2,8,0,1,0,1,1.36,0
17,11,8,0,3,0,1,2.56,0
94,71,6,1,13,42,4,2.48,0
40,38,8,0,8,30,2,5.58,0
96,73,6,1,13,42,4,4.22,0
137,85,6,1,13,42,4,2.13,0
14,11,8,0,3,54,1,4.23,0
141,106,6,1,9,42,3,7.73,0
31,40,8,0,6,18,1,4.66,0
125,122,6,1,13,42,4,3.05,0
26,24,8,0,7,18,2,4.88,0
7,0,8,0,2,12,2,1.34,0
33,32,8,0,5,48,0,3.13,0
85,63,6,1,8,42,2,5.67,0
83,105,6,1,7,42,2,6.21,0
21,13,8,0,3,,2,4.19,0
48,104,6,1,9,42,3,7.37,0
134,116,6,1,9,42,0,5.13,0
39,36,8,0,7,60,3,4.82,0
7,8,8,0,2,,1,2.76,0
29,22,8,0,8,48,2,5.19,0
32,28,8,0,7,18,2,4.81,0
25,19,8,0,6,6,2,2.56,0
47,36,8,0,8,12,2,7.84,0
29,24,8,0,4,18,1,2.44,0
113,91,6,1,8,42,3,6.36,0
13,16,8,0,2,,1,1.96,0
43,35,8,0,6,30,2,4.51,0
45,30,6,1,8,42,2,5.88,0
150,124,6,1,9,42,2,6.99,0
76,71,8,0,11,12,4,8.82,0
63,56,8,0,5,18,2,4.64,0
37,28,6,1,8,42,3,4.74,0
41,40,8,0,8,30,0,3.83,0
207,200,6,1,13,42,4,6.46,0
111,98,6,1,13,42,3,3.84,0
30,24,8,0,7,18,2,4.29,0
33,29,8,0,8,36,2,6.29,0
114,200,5,1,13,42,4,2.6,0
133,106,5,1,9,42,3,7.31,0
118,106,5,1,4,42,3,6.19,0
24,33,8,0,4,12,2,0.91,0
30,25,5,1,3,42,1,3.69,0
127,135,5,1,13,42,4,2.15,0
140,137,5,1,9,42,2,6.91,0
86,116,4,1,9,42,2,5.39,0
125,135,4,1,9,42,3,8.03,0
55,48,4,1,11,42,2,11.19,0
109,99,4,1,6,42,1,4.7,0
107,100,4,1,13,42,4,4.88,0
53,46,4,1,5,42,2,4.27,0
88,70,3,1,8,42,3,6.3,0
58,56,3,1,9,42,3,7.1,0
108,112,3,1,9,42,3,8.62,0
128,104,3,1,8,42,3,5.65,0
30,21,3,1,4,42,3,3.98,0
125,82,3,1,9,42,4,6.34,0
139,115,3,1,11,42,3,7.6,0
101,103,3,1,9,42,4,6.89,0
92,67,2,1,11,42,2,8.12,0
61,57,2,1,5,42,3,6.35,0
178,168,2,1,9,42,4,6.74,0
162,142,2,1,9,42,2,7.28,0
123,105,2,1,9,42,2,6.95,0
104,90,2,1,8,42,3,6.4,0
143,119,2,1,11,42,4,13.13,0
139,125,2,1,9,42,2,9.57,0
144,158,2,1,8,42,3,10.08,0
136,127,2,1,11,42,3,9.78,0
133,147,1,1,11,42,3,8.79,0
129,117,1,1,11,42,4,8.49,0
156,148,1,1,13,42,4,10.76,0
178,178,1,1,9,42,4,8,0
69,60,1,1,11,42,4,10.25,0
169,169,1,1,11,42,4,10.62,0
117,125,1,1,11,42,3,9.52,0
165,174,1,1,11,42,4,9.17,0
196,191,1,1,11,42,4,9.84,0
133,175,1,1,11,42,4,9.76,0
122,101,1,1,11,42,3,10.46,0
72,72,1,1,11,42,3,9.12,0
201,194,1,1,8,42,3,7.41,0
53,40,7,0,11,72,3,11.61,0
137,112,1,1,11,42,4,9.01,0
18,22,7,0,2,,0,2.19,0
147,193,1,1,8,42,3,8.3,0
42,54,7,0,7,0,3,4.75,0
9,6,7,0,1,0,1,1.47,0
13,13,7,0,2,0,0,0.71,0
27,16,7,0,4,0,1,2.78,0
174,146,1,1,11,42,4,10.68,0
200,200,1,1,11,42,4,8.8,0
185,202,1,1,13,42,4,9.8,0
75,71,1,1,13,42,4,10.28,0
53,47,14,0,11,90,3,10.55,0
35,39,14,0,4,,2,2.11,0
153,183,1,1,9,42,4,9,0
152,128,1,1,9,42,4,9.53,0
200,204,1,1,11,42,3,10.11,0
132,138,1,1,9,42,4,9.04,0
35,31,14,0,6,12,1,5.05,0
6,0,14,0,0,,1,0.55,0
36,35,14,0,6,6,2,2.79,0
164,169,1,1,11,42,4,10.17,0
38,33,14,0,7,6,2,4.47,0
93,87,1,1,11,42,4,8.65,0
18,13,14,0,2,6,1,0.87,0
20,30,14,0,1,,2,0.93,0
182,164,1,1,12,42,4,11.24,0
125,107,1,1,11,42,4,8.91,0
21,18,14,0,4,6,0,2.17,0
85,81,9,1,6,48,3,5.87,0
10,12,14,0,2,,1,0.33,0
33,29,14,0,6,,1,4.1,0
26,34,14,0,6,18,2,2.28,0
131,112,9,1,9,48,3,6.57,0
70,81,9,1,7,48,3,6.94,0
42,39,9,1,8,48,2,6.91,0
58,52,14,0,9,60,3,9.14,0
130,148,9,1,7,48,3,6.03,0
40,33,14,0,4,0,2,0.98,0
29,22,14,0,6,6,1,4.03,0
4,0,14,0,0,,1,0.98,0
121,88,9,1,6,48,2,4.91,0
24,27,14,0,4,12,2,2.37,0
109,93,8,1,13,48,3,3.74,0
32,24,8,1,1,48,2,3.74,0
39,37,8,1,11,48,2,8.43,0
96,74,8,1,7,48,1,5.82,0
1,0,14,0,0,,1,0.95,0
15,14,14,0,4,6,0,1.39,0
72,71,8,1,13,48,4,3.95,0
75,63,8,1,13,48,4,3.2,0
35,37,14,0,4,6,2,2.5,0
49,46,14,0,6,12,1,4,0
102,85,8,1,13,48,4,6.16,0
71,60,8,1,6,48,3,5.2,0
105,91,8,1,9,48,2,8.19,0
27,23,14,0,7,12,1,4.8,0
16,18,14,0,1,,1,2.32,0
57,51,8,1,13,48,1,4.5,0
30,28,14,0,7,30,0,4.52,0
45,47,14,0,7,0,0,4.1,0
41,34,14,0,9,0,1,4.33,0
14,8,14,0,4,0,1,0.68,0
23,20,14,0,3,,1,1.29,0
136,137,8,1,13,48,4,3.85,0
